1, -36.536,  63.381, -71.194,-114.120,  51.435, -46.145,
2, -14.305,   3.113,  -4.398, 126.444,  20.907,  77.642,
1, -36.435,  63.336, -71.199,-114.038,  51.342, -45.627,
2, -14.278,   2.972,  -4.568, 126.455,  20.542,  77.185,
1, -36.430,  63.308, -71.168,-113.959,  51.161, -45.421,
2, -14.255,   2.832,  -4.746, 126.457,  20.147,  76.713,
1, -36.413,  63.308, -71.107,-113.794,  51.077, -45.193,
2, -14.239,   2.697,  -4.926, 126.431,  19.711,  76.240,
1, -36.389,  63.247, -71.047,-113.569,  50.845, -44.850,
2, -14.229,   2.562,  -5.118, 126.377,  19.250,  75.779,
1, -36.283,  63.245, -70.941,-113.439,  50.527, -44.483,
2, -14.227,   2.423,  -5.333, 126.282,  18.731,  75.288,
1, -36.121,  63.138, -70.950,-112.999,  49.870, -43.532,
2, -14.234,   2.281,  -5.574, 126.157,  18.137,  74.752,
1, -35.929,  62.991, -71.046,-112.374,  49.026, -42.527,
2, -14.250,   2.138,  -5.846, 125.987,  17.460,  74.146,
1, -36.113,  62.823, -70.961,-111.775,  48.213, -42.391,
2, -14.276,   1.994,  -6.150, 125.776,  16.696,  73.464,
1, -35.989,  62.790, -70.923,-111.175,  47.517, -41.500,
2, -14.312,   1.853,  -6.488, 125.514,  15.854,  72.696,
1, -36.234,  62.700, -70.742,-110.601,  46.623, -41.496,
2, -14.357,   1.716,  -6.859, 125.213,  14.935,  71.843,
1, -36.189,  62.637, -70.674,-109.851,  45.563, -40.528,
2, -14.409,   1.585,  -7.261, 124.878,  13.970,  70.895,
1, -36.220,  62.479, -70.566,-108.993,  44.212, -39.695,
2, -14.467,   1.463,  -7.689, 124.515,  12.974,  69.872,
1, -36.059,  62.442, -70.484,-108.309,  43.095, -38.437,
2, -14.528,   1.352,  -8.140, 124.130,  11.969,  68.769,
1, -36.220,  62.283, -70.307,-107.069,  41.593, -37.972,
2, -14.592,   1.252,  -8.607, 123.731,  10.955,  67.593,
1, -36.298,  62.067, -70.186,-106.156,  39.888, -37.081,
2, -14.657,   1.161,  -9.082, 123.330,   9.966,  66.387,
1, -36.073,  61.883, -70.195,-105.335,  38.096, -35.760,
2, -14.721,   1.079,  -9.561, 122.936,   9.012,  65.172,
1, -36.084,  61.682, -70.114,-104.224,  36.223, -34.839,
2, -14.785,   1.004, -10.037, 122.560,   8.091,  63.972,
1, -35.845,  61.469, -70.128,-103.373,  34.159, -33.550,
2, -14.849,   0.934, -10.507, 122.186,   7.198,  62.796,
1, -36.045,  61.199, -70.001,-102.077,  31.934, -32.920,
2, -14.914,   0.867, -10.966, 121.824,   6.333,  61.702,
1, -35.753,  60.995, -70.061,-101.324,  29.550, -31.489,
2, -14.980,   0.802, -11.414, 121.467,   5.477,  60.696,
1, -35.937,  60.829, -69.822,-100.035,  27.482, -30.919,
2, -15.050,   0.740, -11.851, 121.134,   4.601,  59.793,
1, -35.651,  60.713, -69.774, -99.518,  24.999, -29.626,
2, -15.122,   0.680, -12.281, 120.823,   3.703,  58.965,
1, -35.749,  60.491, -69.550, -98.348,  22.537, -28.973,
2, -15.198,   0.623, -12.704, 120.548,   2.762,  58.228,
1, -35.643,  60.287, -69.417, -97.370,  19.894, -27.958,
2, -15.274,   0.569, -13.124, 120.312,   1.796,  57.529,
1, -35.654,  60.095, -69.151, -96.572,  17.343, -27.224,
2, -15.351,   0.519, -13.540, 120.104,   0.802,  56.854,
1, -35.620,  59.774, -68.986, -95.737,  14.422, -26.389,
2, -15.423,   0.472, -13.954, 119.927,  -0.178,  56.166,
1, -35.494,  59.688, -68.719, -95.143,  11.847, -25.476,
2, -15.490,   0.427, -14.363, 119.775,  -1.133,  55.460,
1, -35.694,  59.325, -68.488, -94.300,   8.813, -24.880,
2, -15.550,   0.383, -14.766, 119.655,  -2.037,  54.728,
1, -35.130,  59.335, -68.418, -94.477,   6.005, -23.631,
2, -15.601,   0.340, -15.165, 119.552,  -2.885,  53.948,
1, -35.371,  58.999, -68.197, -93.439,   2.902, -23.076,
2, -15.644,   0.296, -15.555, 119.479,  -3.666,  53.151,
1, -35.448,  58.816, -67.995, -92.526,   0.043, -22.281,
2, -15.680,   0.254, -15.938, 119.424,  -4.396,  52.329,
1, -35.485,  58.684, -67.679, -92.347,  -2.837, -21.608,
2, -15.710,   0.212, -16.311, 119.385,  -5.076,  51.513,
1, -35.166,  58.611, -67.563, -92.491,  -5.878, -20.439,
2, -15.735,   0.171, -16.678, 119.367,  -5.716,  50.687,
1, -35.427,  58.464, -67.126, -91.490,  -8.586, -20.025,
2, -15.762,   0.132, -17.030, 119.370,  -6.351,  49.904,
1, -35.168,  58.495, -66.875, -91.878, -11.506, -18.992,
2, -15.787,   0.094, -17.375, 119.393,  -6.966,  49.146,
1, -35.273,  58.432, -66.412, -91.344, -14.310, -18.477,
